customerCode,customerName,customerNotes
FAHO8-3810,Fantastic Furniture Pakenham,
FAHO8-3844-001,Fantastic Furniture Traralgon,
FAHO8-3977-001,Fantastic Furniture Cranbourne,
FAHO8-4127,Fantastic Furniture Logan,
FAHO8-4157,Fantastic Furniture Capalaba,
FAHO8-4509,Fantastic Furniture North Lakes,
FAHO8-5031,Fantastic Furniture Mile End South,
FAHO8-5168-001,Fantastic Furniture Noarlunga,
FAHO8-FF276,Fantastic Furniture Rutherford NSW,
FAHO8-FFR202,Fantastic Furniture Albury,
FAHO8-FFR205,Fantastic Furniture Balgowlah NSW,
FAHO8-FFR210,Fantastic Furniture Bennett's Green NSW,
FAHO8-FFR212,Fantastic Furniture Casula/Crossroads,
FAHO8-FFR213,Fantastic Furniture Caringbah NSW,
FAHO8-FFR214,Fantastic Furniture Burwood NSW,
FAHO8-FFR218,Fantastic Furniture Castle Hill NSW,
FAHO8-FFR220,Fantastic Furniture Coffs Harbour,
FAHO8-FFR240,Fantastic Furniture Fyshwick ACT,
FAHO8-FFR245,Fantastic Furniture Griffith NSW,
FAHO8-FFR264,Fantastic Furniture Newcastle West,
FAHO8-FFR265,Fantastic Furniture Nowra NSW,
FAHO8-FFR270,Fantastic Furniture Penrith NSW,
FAHO8-FFR280,Fantastic Furniture Tamworth NSW,
FAHO8-FFR282,Fantastic Furniture Taree NSW,
FAHO8-FFR285,Fantastic Furniture Tuggerah,
FAHO8-FFR297,Fantastic Furniture Warrawong NSW,
FAHO8-FFR298,Fantastic Furniture Wagga NSW,
FAHO8-FFR305,Fantastic Furniture Ballarat VIC,
FAHO8-FFR310,Fantastic Furniture Bendigo VIC,
FAHO8-FFR320,Fantastic Furniture Caroline Springs VIC,
FAHO8-FFR330,Fantastic Furniture Dandenong VIC,
FAHO8-FFR345,Fantastic Furniture Geelong VIC,
FAHO8-FFR362,Fantastic Furniture Mornington VIC,
FAHO8-FFR378,Fantastic Furniture Shepparton VIC,
FAHO8-FFR410,Fantastic Furniture Burleigh Heads,
FAHO8-FFR435,Fantastic Furniture Helensvale QLD,
FAHO8-FFR440,Fantastic Furniture Hervey Bay QLD,
FAHO8-FFR445,Fantastic Furnuture Ipswich QLD,
FAHO8-FFR470,Fantastic Furniture Rockhampton QLD,
FAHO8-FFR485,Fantastic Furniture Townsville QLD,
FAHO8-FFR495,Fantastic Furniture Windsor,
FAHO8-FFR550,Fantastic Furniture Marion SA,
FAHO8-FFR560,Fantastic Furniture Munno Para,
FAHO8-FFR615,Fantastic Furniture Cannington WA,
FAHO8-FFR620,Fantastic Furniture Cockburn WA,
FAHO8-FFR650,Fantastic Furniture Joondalup WA,
FAHO8-FFR660,Fantastic Furniture Mandurah WA,
FAHO8-FFR680,Fantastic Furniture Rockingham WA,
FAHO8-PL2144,Plush Auburn Megamall,
FAHO8-PL2154,Plush Castle Hill,
FAHO8-PL2229,Plush Caringbah,
